Year,Title,Production - studio,Directors,Lead Actor/Actress,IMDB rating,Box Office Earnings in Rupees,Release month
2011,Dabangg,Arbaaz Khan Productions & Shree Ashtavinayak Cine Vision Ltd,"Arbaaz Khan, Malaika Arora, & Dhillin Mehta",Salmaan Khan/Sonakshi Sinha,6.2,2190000000,September
2012,Zindagi Na Milegi Dobara,Excel Entertainment,"Farhan Akhtar, Ritesh Sidhwani","Hrithik Roshan, Abhay Deol, Farhan Akhtar",8.1,1530000000,July
2013,Barfi!,UTV Motion Pictures,Ronnie Screwvala & Siddharth Roy Kapur,Ranbir Kapoor/Priyanka Sharma,8.1,1833600000,September
2014,Bhaag Milkha Bhaag,ROMP Pictures,"Rakeysh Omprakash Mehra, Rajiv Tandon & P.S. Barathi",Farhan Akhtar,8.2,2100000000,July
2015,Queen,Viacom 18 Motion Pictures and Phantom Films,Anurag Kashyap & Vikramaditya Motwane,Rajkumar Rao/Kangana Ranaut,8.2,1200000000,October
2016,Bajirao Mastani,SLB Films and Eros International,Sanjay Leela Bhansali,"Ranveer Singh, Shahid Kapoor/Deepika Padukone",7.2,3560000000,December
2017,Dangal ,"Walt Disney Pictures, Aamir Khan Productions, and UTV Motion Pictures","Aamir Khan, Kiran Rao, & Siddharth Roy Kapoor","Aamir Khan/Fatima Sana Sheikh, Zaira Wasim",8.4,7160000000,May
2018,Hindi Medium, T-Series and Maddock Films,"Dinesh Vija, Bhushan Kumar, & Krishan Kumar",Irrfan Khan/Saba Qamar,7.4,3224000000,April
2019,Raazi,"Dharma Productions, Junglee Pictures","Vineet Jain, Karan Johar, Hiroo Yash Johar, & Apporva Mehta",Vicky Kaushal/Alia Bhatt,7.8,2070000000,May
2020,Gully Boy ,"Excel Entertainment, Tiger Baby Films","Farhan Akhtar, Ritesh Sidhwani",Ranveer Singh/Alia Bhatt,8.2,2381600000,February
